id,REPORTER_NAME,Reporter_family,REPORTER_CITY,REPORTER_STATE,REPORTER_COUNTY,BUYER_NAME,BUYER_CITY,BUYER_COUNTY,NDC_NO,QUANTITY,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,Product_Name,Ingredient_Name,Combined_Labeler_Name
37,AMERICAN SALES COMPANY,American Sales Company,BALTIMORE,MD,BALTIMORE,THE STOP & SHOP SUPERMARKET,AMITYVILLE,SUFFOLK,40603,3,Q3-2007,1.8162,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
38,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,MIL RUE CHEMISTS INC,RIDGEWOOD,QUEENS,60951,1,Q3-2007,0.672375,ENDOCET TABS;7.5MG OXYCODONE.HCL & 5,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
39,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BROOKLYN,KINGS,68774,1,Q3-2007,0.8965,OXYCODONE.HCL/APAP 10MG/325MG TABS,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
40,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,SOUTHRIFTY DRUG INC,SOUTH SETAUKET,SUFFOLK,60951,1,Q3-2007,0.8965,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
41,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),NEW YORK,NEW YORK,59011,2,Q4-2007,7.172,OXYCONTIN 40MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
42,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),ROCKY POINT,QUEENS,60338,3,Q4-2007,6.81075,HYDROCOD.BIT 7.5 TAB,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
43,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BARDONIA,ROCKLAND,53746,1,Q4-2007,0.8965,OXYCODONE HCL/ACETAMINOPHEN TABS 10M,OXYCODONE HYDROCHLORIDE,Amneal Pharmaceuticals LLC
44,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),HOWARD BEACH,QUEENS,40603,1,Q4-2007,2.27025,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
45,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BRONX,BRONX,59011,1,Q4-2007,7.172,OXYCONTIN - 80MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
46,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),RIVERHEAD,SUFFOLK,60951,1,Q4-2007,0.8965,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
47,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BROOKLYN,KINGS,60951,5,Q4-2007,4.4825,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
48,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BROOKLYN,KINGS,60951,2,Q4-2007,1.793,ENDOCET TABS - 10MG OXYCODONE.HCL &,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
49,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),ELMHURST,QUEENS,60338,1,Q4-2007,0.45405,HYDROCOD.BIT 7.5 TAB,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
50,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,SAND LANE PHARMACY CORP,STATEN ISLAND,RICHMOND,60951,5,Q4-2007,4.4825,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
51,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),NEW YORK,NEW YORK,52544,1,Q4-2007,0.6054,"NORCO HYDROCODO.BIT./ACET.,10MG & 32",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
52,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),NEWBURGH,ORANGE,60338,1,Q4-2007,0.3027,HYDROCODONE BITARTRATE 5MG/ACETAMINO,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
53,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),STONY POINT,ROCKLAND,40603,1,Q4-2007,1.5135,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
54,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BROOKLYN,KINGS,53746,1,Q4-2007,0.8965,OXYCODONE HCL/ACETAMINOPHEN TABS 10M,OXYCODONE HYDROCHLORIDE,Amneal Pharmaceuticals LLC
55,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),BROOKLYN,KINGS,60951,2,Q4-2007,1.34475,ENDOCET - 7.5MG OXYCODONE.HCL/325MG,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
56,KINRAY INC,Kinray Inc,WHITESTONE,NY,QUEENS,Other buyers (only appeared once),FRANKLIN SQUARE,NASSAU,60338,2,Q4-2007,1.2108,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
57,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",FULTON,OSWEGO,60951,6,Q4-2007,5.379,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
58,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"RITE AID OF NEW YORK, INC.",SYRACUSE,ONONDAGA,40685,1,Q4-2007,2.6895,OXYCODONE HYDROCHLORIDE 30MG TABLET,OXYCODONE HYDROCHLORIDE,SpecGx LLC
59,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,Other buyers (only appeared once),WELLSVILLE,ALLEGANY,40603,1,Q1-2008,1.5135,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
60,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,GEROULD'S PROFESSIONAL,ELMIRA,CHEMUNG,59011,1,Q1-2008,1.793,OXYCONTIN (OXYCODONE.HCL) CONTROLLED,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
61,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",LOWVILLE,LEWIS,59011,1,Q1-2008,3.586,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
62,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",ROCHESTER,MONROE,40603,1,Q1-2008,2.27025,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
63,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",PENFIELD,MONROE,40605,3,Q1-2008,1.34475,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
64,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",ROCHESTER,MONROE,40603,3,Q1-2008,1.8162,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
65,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",ROCHESTER,MONROE,40603,3,Q1-2008,1.8162,HYDROCODONE BIT/ACETA 10MG/500MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
66,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",FAIRPORT,MONROE,40603,1,Q1-2008,0.3027,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
67,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",ROCHESTER,MONROE,40603,1,Q1-2008,0.6054,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
68,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC",WEBSTER,MONROE,59011,1,Q1-2008,0.8965,OXYCONTIN - 10MG OXYCODONE.HCL CONTR,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
69,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC",LIVERPOOL,ONONDAGA,57664,3,Q1-2008,4.03425,"OXYCODONE HCL 15MG TABLETS, 100 CT",OXYCODONE HYDROCHLORIDE,"Sun Pharmaceutical Industries, Inc."
70,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"WEGMANS FOOD MARKETS, INC.",TONAWANDA,ERIE,40605,2,Q1-2008,0.8965,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
71,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,Other buyers (only appeared once),LIVERPOOL,ONONDAGA,40605,2,Q1-2008,0.8965,OXYCODONE HYDROCHLORIDE 5MG TABS USP,OXYCODONE HYDROCHLORIDE,SpecGx LLC
72,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,Other buyers (only appeared once),YONKERS,WYOMING,59105,2,Q1-2008,0.9081,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
73,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,Other buyers (only appeared once),LOCKPORT,NIAGARA,59105,1,Q2-2008,3.027,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,"Actavis Pharma, Inc."
74,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",BRIDGEPORT,ONONDAGA,40603,1,Q2-2008,0.3027,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
75,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",ALEXANDRIA BAY,JEFFERSON,40603,1,Q2-2008,0.3027,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
76,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",ALEXANDRIA BAY,JEFFERSON,40605,2,Q2-2008,4.4825,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,OXYCODONE HYDROCHLORIDE,SpecGx LLC
77,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",CHITTENANGO,MADISON,57664,1,Q2-2008,0.44825,"OXYCODONE HCL 5MG TABLETS, USP",OXYCODONE HYDROCHLORIDE,"Sun Pharmaceutical Industries, Inc."
78,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",FULTON,OSWEGO,40603,2,Q2-2008,0.6054,HYDROCODONE BIT/ACETA 5MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
79,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"KPH HEALTHCARE SERVICES, INC.",SYRACUSE,ONONDAGA,60951,2,Q2-2008,1.793,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,Par Pharmaceutical
80,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,Other buyers (only appeared once),JOHNSON CITY,BROOME,40603,3,Q2-2008,9.081,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
81,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,"RITE AID OF NEW YORK, INC.",TONAWANDA,ERIE,59011,4,Q2-2008,28.688,OXYCONTIN 80MG OXYCODONE HCL CR TABL,OXYCODONE HYDROCHLORIDE,Purdue Pharma LP
82,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,ECKERD CORPORATION,SYRACUSE,ONONDAGA,40605,1,Q2-2008,0.8965,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,OXYCODONE HYDROCHLORIDE,SpecGx LLC
83,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,ECKERD CORPORATION,NORTH TONAWANDA,NIAGARA,40603,1,Q2-2008,1.5135,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
84,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,ECKERD CORPORATION,ROCHESTER,MONROE,40603,3,Q2-2008,6.81075,HYDROCODONE BIT/ACETA 7.5MG/500MG US,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
85,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,ECKERD CORPORATION,ROCHESTER,MONROE,53746,15,Q3-2008,13.4475,OXYCODONE HCL/ACETAMINOPHEN TABS 10M,OXYCODONE HYDROCHLORIDE,Amneal Pharmaceuticals LLC
86,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,ECKERD CORPORATION,WATERLOO,SENECA,40603,3,Q3-2008,1.8162,HYDROCODONE BIT/ACETA 10MG/325MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
87,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,TOPS MARKETS,FREWSBURG,CHAUTAUQUA,60338,2,Q3-2008,0.3027,HYDROCOD.BIT. & ACET.;2.5MG/600MG/TA,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,Par Pharmaceutical
88,MCKESSON CORPORATION,McKesson Corporation,WEST SENECA,NY,ERIE,TOPS MARKETS,HORNELL,STEUBEN,40603,1,Q3-2008,0.3027,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,SpecGx LLC
